"","id","nom","inscrits","abst","blancs","joly","lepen","sarkozy","melenchon","poutou","arthaud","cheminade","bayrou","dupont.aignan","hollande"
"154","0611","ECOLE ANTOINE REMOND",1005,19.3,0.99,3.74,9.34,35.12,8.47,0.87,0.5,0.12,12.45,1.37,28.02
"155","0612","ECOLE ANTOINE REMOND",1126,22.38,2.29,5.39,10.07,23.65,12.41,0.7,1.05,0,9.6,1.17,35.95
"156","0613","ECOLE JEAN JAURES",1057,16.18,1.13,2.05,5.94,56.74,3.77,0.23,0.23,0.46,11.19,1.6,17.81
"157","0614","ECOLE JEAN JAURES",954,18.45,1.03,2.6,7.79,41.17,6.36,0.78,0.39,0.13,9.35,4.03,27.4
"158","0615","ECOLE CREQUI",1080,16.94,1,3.15,7.21,50.23,7.09,0,0.45,0.11,11.49,1.01,19.26
"159","0616","ECOLE CREQUI",900,16.22,1.06,3.35,6.97,56.3,5.9,0.27,0.13,0.13,8.71,0.4,17.83
"160","0617","ECOLE CREQUI",1045,15.41,1.02,3.43,7.2,47.31,6.97,0.23,0.46,0.46,10.86,1.14,21.94
"161","0618","ECOLE CREQUI",836,14.23,1.12,3.95,5.08,54.87,5.78,0.42,0.42,0.28,8.32,0.85,20.03
"162","0619","GYMNASE MUNICIPAL",1037,16.3,0.12,1.73,4.96,61.36,4.27,0.12,0.23,0.12,9.34,1.04,16.84
"163","0620","GYMNASE MUNICIPAL",1000,14.2,0.82,2.35,6.35,61.69,4.47,0.35,0.24,0.59,9.05,0.94,13.98
"164","0621","GYMNASE MUNICIPAL",1019,15.51,1.05,2.23,6.1,60.68,3.76,0.47,0.12,0.23,9.74,1.64,15.02
"165","0622","GYMNASE MUNICIPAL",1141,17.53,1.17,3.44,5.59,52.26,5.05,0.65,0.11,0.32,12.15,0.75,19.68
"166","0623","GYMNASE MUNICIPAL",945,14.71,1.24,2.76,7.16,62.31,5.65,0.25,0,0,7.16,1.26,13.44
"167","0624","GYMNASE MUNICIPAL",1171,14.94,0.9,2.43,6.69,58.16,4.05,0.2,0,0.1,8.71,1.32,18.34
"168","0625","GYMNASE MUNICIPAL",894,17.34,0.95,2.32,5.74,59.02,4.78,0,0.14,0.27,8.88,0.82,18.03
"169","0626","ECOLE JEAN ROSTAND (GYMNASE)",935,19.68,0.93,4.3,6.05,49.73,6.59,0.13,0.13,0,11.29,0.67,21.1
"170","0627","ECOLE JEAN ROSTAND (GYMNASE)",1225,17.71,1.79,2.53,8.18,47.98,5.56,0.61,0.1,0.1,11.92,1.92,21.11
